sku_code,product_name,product_id
WEBNAT000042,"NATURALS STEVIA 5 packs x 100 tablets, Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",1036902513
WEBNAT000040,"NATURALS STEVIA 3 packs x 100 tablets, Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",1036928083
WEBMIX000010,"EQUAL Gold 750 Sticks with NATURALS STEVIA 100 Tablets, 0 Calorie & Low Carb Sweetener, Sugar Substitute, Erythritol & Sucralose Sweetener, Sugar Free, Diabetic Friendly, Baking Sugar Alternative",1112114613
WEBNAT000045,"NATURALS STEVIA 1 pack x 100 tablets with Naturals Stevia 40 Sticks, Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",1799941846
7630486400938,"NATURALS STEVIA 1 bag x 1 Kg, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",1956547229
7630486401041,"EQUAL Gold Sugarly 1 bag x 1kg, Zero Calorie Sweetener, Ketogenic Diet (Keto Diet) Friendly Sweetener, Low Carb Sweetener, Sugar Substitute, Erythritol Sweetener, Sucralose Sweetener, Sugar Free, Diabetic Friendly Sweetener, Baking Sugar Alternative",2250348506
7630486401119,"[with FREE GIFT] Buy Naturals Monk Fruit Zero Calorie Sweetener 40 Sticks, get FREE Luminarc Salto Glass (Blue)",2389965788
WEBNAT000047,"[with FREE GIFT] Buy 3 packs of Naturals Monk Fruit Zero Calorie Sweetener 200g, get FREE Quaker Rolled Oats 500g",2401331472
8850186121103,[WITH FREE GIFT] EQUAL CAFE CLASSIC ESPRESSO 3-IN-1 COFFEE MIX 10 STICKS with Equal Mug,2425017352
8850186161109,[WITH FREE GIFT] EQUAL CAFE MOCHA 3-IN-1 COFFEE MIX 10 STICKS with Equal Mug,2425033319
8850186131102,[WITH FREE GIFT] EQUAL CAFE CAPPUCCINO 3-IN-1 COFFEE MIX 10 STICKS with Equal Mug,2425060143
8850186141064,[WITH FREE GIFT] EQUAL CAFE MATCHA LATTE 3-IN-1 COFFEE MIX 6 STICKS with Equal Mug,2425067109
8850186151100,[WITH FREE GIFT] EQUAL CAFE CARAMEL LATTE 3-IN-1 COFFEE MIX 10 STICKS with Equal Mug,2425074057
WEBNAT000003,"[with FREE GIFT] Buy 3 boxes of Naturals Monk Fruit Zero Calorie Sweetener 40 Sticks, get FREE Luminarc Salto Glass (Blue)",2441120602
WEBNAT000005,"[B3G1] Buy Naturals Monk Fruit 40 Sticks x 3 Boxes, Zero Calorie Sweetener, Get FREE 40 Sticks",2475586920
WEBNAT000002,"[with FREE GIFT] Buy 2 boxes of Naturals Monk Fruit Zero Calorie Sweetener 40 Sticks, get FREE Luminarc Salto Glass (Blue)",2475627724
7630486401577,"NATURALS Erythritol 1 bag x 1kg, 100% Natural Sugar Replacement, 0 Calorie Sweetener, Ketogenic Diet (Keto Diet) Friendly, Low Carb Sugar Substitute, Erythritol Sweetener, Plant Based, Sugar Free, Diabetic Friendly Sweetener, Baking Sugar Alternative",2494736945
WEBNAT000077,"[B3G1] Buy Naturals Stevia 200 Tablets x 3 Packs, Zero Calorie Sweetener, Get FREE 200 Tablets",2721474732
WEBEQC000038,"[B2G1] Buy 2 Boxes of Equal Classic 1000 sticks, get FREE Classic 1000 Sticks",2761557079
WEBNAT000010,NATURALS STEVIA 200 TABLETS X 3 PACK,2962828386
WEBNAT000009,"NATURALS STEVIA 2 packs x 200 tablets, Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",2962835339
WEBEQG000046,"[with FREE GIFT] Buy Equal Gold Zero Calorie Sweetener 400 G Pouch Pack, get FREE 0.5 Rondo Jar",2987572771
WEBNAT000090,"NATURALS STEVIA 4 packs x 400g, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3008624847
WEBNAT000082,"[with FREE GIFT] Buy 2 packs of Naturals Stevia 100% Natural Zero Calorie Sweetener 150g, get FREE Quaker Rolled Oats 500g",3008642759
WEBNAT000085,"NATURALS STEVIA 5 packs x 150g, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3008676620
WEBNAT000081,"[with FREE GIFT] Buy NATURALS STEVIA 1 pack x 150g, get FREE 0.5 Rondo Jar",3008723449
WEBNAT000088,"NATURALS STEVIA 2 packs x 400g, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3008732354
WEBNAT000083,"[with FREE GIFT] Buy 3 packs of Naturals Stevia 100% Natural Zero Calorie Sweetener 150g, get FREE Quaker Rolled Oats 500g",3008735323
WEBNAT000084,"[B3G1] Buy NATURALS STEVIA 150g x 3, Zero Calorie Sweetener, Get FREE 150g",3008758164
WEBNAT000089,"NATURALS STEVIA 3 packs x 400g, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3008760149
7640110705018,"NATURALS STEVIA 1 pack x 150g, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3008769043
WEBNAT000071,"[B3G1] Buy Naturals Stevia 100 Tablets x 3 Packs, Zero Calorie Sweetener, Get FREE 100 Tablets",3159784630
WEBEQG000060,"[with FREE GIFT] Buy 2 boxes of Equal Gold No Calorie Sweetener 50 Sticks, get Luminarc Mug",3285917357
7630486402864,"NATURALS STEVIA 1 box x 500 sticks, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",3528807254
WEBEQG000064,"[B2G1] Buy 2 boxes of Equal Gold Zero Calorie Sweetener 750 Sticks, get FREE 750 Sticks",3597227672
WEBEQC000046,"[with FREE GIFT] Buy Equal Classic Zero Calorie Sweetener 100 Sticks, get FREE 0.5 Rondo Jar",3602825673
7630486403335,"[with FREE GIFT] Buy Equal Classic Zero Calorie Sweetener 300 Sticks, get FREE Luminarc .5L Rondo Jar",3888187124
WEBMIX000031,"[GOOD FOR YOU GIFTSET] Buy Equal Gold 400g and Equal Gold 50 Sticks, get FREE Shiratake Noodles",4178417858
7630486403342,"PURE VIA STEVIA 15 sticks, Zero Calorie Sweetener Stevia Leaf Extract Sweetener",4238984766
WEBMIX000032,"[DETOX GIFTSET] Buy Naturals Stevia 100% Natural Zero Calorie Sweetener 100 Sticks, get FREE Twinings Four Red Fruits + Luminarc Mug",4254457323
WEBMIX000033,"[DETOX GIFTSET] Buy Naturals Monk Fruit Zero Calorie Sweetener 40 Sticks and Naturals Monk Fruit Zero Calorie Sweetener 200g, get FREE Twinings Strawberry & Mango",4254513245
WEBMIX000034,"[DETOX GIFTSET] Buy Naturals Stevia 100% Natural Zero Calorie Sweetener 40 Sticks, get FREE Twinings Passionfruit Mango and Orange + Luminarc Mug",4254545216
WEBCAFEML000002,[BUNDLE OF 5] EQUAL CAFE MATCHA LATTE 3-IN-1 COFFEE MIX 5 x 6 STICKS,4426249996
WEBCAFEA000001,"[BUNDLE OF 2] EQUAL CAFE AMERICANO 
3-IN-1 COFFEE MIX 2 x 10 STICKS",4426282861
WEBCAFECL000001,[BUNDLE OF 2] EQUAL CAFE CARAMEL LATTE 3-IN-1 COFFEE MIX 2 x 10 STICKS,4426304789
WEBCAFE000002,"[BESTSELLER PACK] EQUAL CAFE CLASSIC ESPRESSO, CARAMEL LATTE, AND CAPPUCCINO",4426373616
WEBCAFECL000002,[BUNDLE OF 5] EQUAL CAFE CARAMEL LATTE 3-IN-1 COFFEE MIX 5 x 10 STICKS,4426374624
WEBCAFEM000002,"[BUNDLE OF 5] EQUAL CAFE MOCHA 
3-IN-1 COFFEE MIX 5 x 10 STICKS",4426374625
WEBCAFEA000002,"[BUNDLE OF 5] EQUAL CAFE AMERICANO 
3-IN-1 COFFEE MIX 5 x 10 STICKS",4426374626
7630486401256,"[WITH FREE GIFT] EQUAL CAFE AMERICANO 
3-IN-1 COFFEE MIX 10 STICKS with Equal Mug",4426380593
WEBCAFECE000001,[BUNDLE OF 2] EQUAL CAFE CLASSIC ESPRESSO 3-IN-1 COFFEE MIX 2 x 10 STICKS,4426390606
WEBCAFEML000001,[BUNDLE OF 2] EQUAL CAFE MATCHA LATTE 3-IN-1 COFFEE MIX 2 x 6 STICKS,4426426418
WEBCAFEM000001,"[BUNDLE OF 2] EQUAL CAFE MOCHA 
3-IN-1 COFFEE MIX 2 x 10 STICKS",4426434200
WEBCAFEC000002,[BUNDLE OF 5] EQUAL CAFE CAPPUCCINO 3-IN-1 COFFEE MIX 5 x 10 STICKS,4426447095
WEBCAFE000001,"[TRIAL PACK] EQUAL CAFE ESPRESSO, CARAMEL LATTE, CAPPUCCINO, MOCHA, MATCHA LATTE AND AMERICANO",4426457043
WEBCAFECE000002,[BUNDLE OF 5] EQUAL CAFE CLASSIC ESPRESSO 3-IN-1 COFFEE MIX 5 x 10 STICKS,4426458048
WEBCAFEC000001,[BUNDLE OF 2] EQUAL CAFE CAPPUCCINO 3-IN-1 COFFEE MIX 2 x 10 STICKS,4426460054
WEBFEQG00003,"[B2G1] Buy 2 Boxes of Equal Gold 50 Sticks, Zero Calorie Sweetener , Get FREE Monk Fruit Brown 150g",4428356995
WEBFEQC00004,"[B2G1] Buy 2 Boxes of Equal Classic 100 Sticks, 0 Calorie Sweetener , Get FREE Monk Fruit Brown 150g",4428375826
WEBFNAT00007,"[B2G1] Buy 2 Boxes of Pure Via 100 Sticks, Zero Calorie Sweetener , Get FREE Monk Fruit Brown 150g",4428377777
WEBFNAT00001,"[B3G1] Buy 3 Boxes of Naturals Stevia 500 sticks, 100% Natural, Zero Calorie, Get FREE 500 Sticks",4428387693
WEBFEQC00001,"[B3G1] Buy 3 Boxes of Equal Classic 1000 Sticks, 0 Calorie Low Carb Sweetener, get FREE 1000 Sticks",4428409492
WEBFPRV00002,"[B3G1] Buy 3 Boxes of Pure Via 100 Sticks, Zero Calorie Sweetener, Get FREE Pure Via 100 Sticks",4428410502
WEBFEQC00002,"[B3G1] Buy 3 Equal Classic 100 Tablets, 0 Calorie Low Carb Sweetener, Get FREE 100 Tablets",4428417438
WEBFNAT00003,"[B3G1] Buy 3 Boxes of Naturals Stevia 100 sticks, 100% Natural, Zero Calorie , Get FREE 100 Sticks",4428435347
